"","county_fips","state_name","county_name","votes_gop","votes_dem","total_votes","diff","per_gop","per_dem","per_point_diff","trump16","clinton16","otherpres16","romney12","obama12","otherpres12","demsen16","repsen16","othersen16","demhouse16","rephouse16","otherhouse16","demgov16","repgov16","othergov16","repgov14","demgov14","othergov14","total_population","cvap","white_pct","black_pct","hispanic_pct","nonwhite_pct","foreignborn_pct","female_pct","age29andunder_pct","age65andolder_pct","median_hh_inc","clf_unemploy_pct","lesshs_pct","lesscollege_pct","lesshs_whites_pct","lesscollege_whites_pct","rural_pct","ruralurban_cc","POPULATION","LATITUDE","LONGITUDE"
"11","01021","Alabama","Chilton County",16085,3073,19310,13012,0.832988089073019,0.159140341791818,0.673847747281201,15081,2911,377,13932,3397,133,3327,14582,25,2996,14723,12,NA,NA,NA,9028,2419,0,43817,31555,80.6102654220964,10.0098135426889,7.62489444736061,19.3897345779036,5.55720382499943,50.7976356208777,38.8342424173266,15.2497888947212,42594,7.93858045646838,19.9024718345384,85.1454514881453,17.8497921627184,84.3819363170427,86.7447242398552,1,45014,32.879146,-86.688861
"12","01023","Alabama","Choctaw County",4296,3127,7464,1169,0.57556270096463,0.418944265809218,0.156618435155413,4106,3109,77,4152,3786,30,2992,4035,8,4332,0,94,NA,NA,NA,2380,1947,0,13287,10515,56.2053134642884,42.2292466320464,0.55693535034244,43.7946865357116,0.165575374426131,52.2164521712953,33.4010687137804,20.7496048769474,32622,13.6428137036286,21.14733276884,88.0397967823878,17.6889375684556,87.4589266155531,100,9,12665,32.016121,-88.262482
"13","01025","Alabama","Clarke County",7324,5755,13135,1569,0.557594213932242,0.438142367719833,0.11945184621241,7140,5749,142,7470,6334,47,5558,7158,14,5214,2848,127,NA,NA,NA,5000,3524,0,24847,19195,53.1774459693323,45.4944258864249,0.173059121825573,46.8225540306677,0.466857165855033,52.7588843723588,36.6040165814786,18.0625427617016,32735,17.0833333333333,18.9578192926801,87.8627658324521,14.1369977097647,82.0841140953571,75.980335230132,7,23087,31.683493,-87.815868
"14","01027","Alabama","Clay County",5601,1267,6930,4334,0.808225108225108,0.182828282828283,0.625396825396825,5245,1237,142,4817,1777,68,1377,5147,4,1317,5231,4,NA,NA,NA,3199,1215,0,13483,10360,80.2640361937254,14.7444930653415,3.10761699918416,19.7359638062746,1.89127048876363,51.5538084995921,34.8438774753393,19.4022101906104,38815,6.59153005464481,25.3864069447385,88.9371162396782,21.8043202033037,87.5222363405337,100,9,14236,33.274342,-85.817245
"15","01029","Alabama","Cleburne County",6484,675,7227,5809,0.897191088971911,0.0933997509339975,0.803791338037913,5764,684,145,5272,971,62,847,5554,6,769,5644,4,NA,NA,NA,3129,717,0,14991,11295,92.7956774064439,2.36141685011007,2.32806350476953,7.20432259355613,1.74771529584417,50.4836235074378,36.1416850110066,18.1642318724568,36316,7.17360114777618,25.815164962377,88.4719274551418,24.2629686697483,88.6594761171032,100,8,15056,33.625217,-85.495748
"16","01031","Alabama","Coffee County",16899,5076,22275,11823,0.758653198653199,0.227878787878788,0.530774410774411,15875,4221,671,14666,4925,179,4498,15745,49,5917,10877,3087,NA,NA,NA,8545,2403,0,50991,37955,71.3714184856151,17.0049616599008,6.55802004275264,28.6285815143849,3.73791453393736,50.5599027279324,38.4813006216783,15.7831774234669,47872,6.19426261916268,14.863927890449,76.3332755532443,12.6492479454179,74.2053031477748,47.1950828862016,4,53465,31.353217,-85.899556
"17","01033","Alabama","Colbert County",19203,8343,27886,10860,0.688625116545937,0.299182385426379,0.389442731119558,16746,7312,857,13936,9166,283,8443,15866,28,0,16676,319,NA,NA,NA,9524,6111,0,54377,42235,78.8531916067455,15.6481600676757,2.40175074020266,21.1468083932545,1.56132188241352,51.687294260441,35.5885760523751,18.4526546150027,43786,7.52588989979456,16.5765200804787,81.5290951373102,15.2372645928223,81.2449526762929,43.8946865583891,3,57227,34.724339,-87.681892
"18","01035","Alabama","Conecuh County",3442,2966,6441,476,0.534389070020183,0.460487501940692,0.0739015680794908,3420,3080,85,3439,3555,28,3006,3298,7,3209,2889,43,NA,NA,NA,2370,2344,0,12697,9825,50.7206426714972,46.2156414901158,1.76419626683469,49.2793573285028,0.850594628652438,52.524218319288,35.6540915176813,20.2646294400252,27609,20.4278523489933,20.5722070844687,91.3374205267938,19.6781421878183,89.3460990018334,80.9495010583611,7,11597,31.41643,-86.997537
"19","01037","Alabama","Coosa County",3631,1796,5479,1835,0.662712173754335,0.327797043256069,0.334915130498266,3381,1782,89,3049,2191,29,1788,3378,8,1766,3337,3,NA,NA,NA,2259,1579,0,10864,8755,65.0220913107511,32.3637702503682,1.28865979381443,34.9779086892489,1.25184094256259,50.7087628865979,31.0843151693667,18.6671575846834,31910,12.5758282781148,27.0646262805109,90.0594410016441,22.3313810693369,90.0056678632156,100,8,10387,32.976884,-86.156212
"20","01039","Alabama","Covington County",14586,2721,17430,11865,0.836833046471601,0.156110154905336,0.680722891566265,13267,2387,286,12153,3158,112,2740,12690,36,3759,9540,1809,NA,NA,NA,6155,1777,0,37729,29295,83.5140077924143,12.9767552810835,1.5319780540168,16.4859922075857,0.954173182432612,51.7108855257229,35.3441649659413,20.1781123273874,37313,10.6594902251918,19.0661331722784,85.0785142684584,17.9734248504048,83.8085181274199,69.6517939891434,6,37570,31.284146,-86.409203
